individual,group,value
Herb,Invasive,66.81818182
Shrub,Invasive,15.90909091
Tree,Invasive,5.454545455
Vine,Invasive,11.81818182
Herb,Naturalized,64.1350211
Shrub,Naturalized,15.61181435
Tree,Naturalized,7.594936709
Vine,Naturalized,12.65822785
Herb,Casual,47.58324382
Shrub,Casual,26.42320086
Tree,Casual,15.03759398
Vine,Casual,10.95596133
Herb,Native,74.8502994
Shrub,Native,10.47904192
Tree,Native,5.688622754
Vine,Native,8.982035928
Herb,Cryptogenic,72
Shrub,Cryptogenic,24
Tree,Cryptogenic,0
Vine,Cryptogenic,4
