name,value
Invasive,523
Invasive,1171
Invasive,580.5
Invasive,1111
Invasive,499
Invasive,399
Invasive,399
Invasive,299
Invasive,249
Invasive,899
Invasive,249
Invasive,399
Invasive,899
Invasive,299
Invasive,499
Invasive,305.5
Invasive,899
Invasive,1807.5
Invasive,199
Invasive,349
Invasive,524
Invasive,499
Invasive,1105
Invasive,399
Invasive,399
Invasive,807
Invasive,449
Invasive,299
Invasive,399
Invasive,399
Invasive,499
Invasive,399
Invasive,399
Invasive,499
Invasive,449
Invasive,299
Invasive,387
Invasive,499
Invasive,422
Invasive,499
Invasive,499
Invasive,399
Invasive,618.3333333
Invasive,499
Invasive,499
Invasive,564.3333333
Invasive,499
Invasive,499
Invasive,499
Invasive,499
Invasive,474
Invasive,199
Invasive,299
Invasive,499
Invasive,499
Invasive,349
Invasive,767.6666667
Invasive,159
Invasive,292
Invasive,342
Invasive,1912
Invasive,899
Invasive,686
Invasive,499
Invasive,899
Invasive,899
Invasive,499
Invasive,899
Invasive,899
Invasive,899
Invasive,349
Invasive,349
Invasive,349
Invasive,945
Invasive,830.6666667
Invasive,499
Invasive,499
Invasive,1295
Invasive,499
Invasive,499
Invasive,349
Naturalized,399
Naturalized,542
Naturalized,399
Naturalized,399
Naturalized,415
Naturalized,899
Naturalized,469
Naturalized,399
Naturalized,399
Naturalized,1712.333333
Naturalized,499
Naturalized,399
Naturalized,145
Naturalized,499
Naturalized,115
Naturalized,499
Naturalized,549
Naturalized,349
Naturalized,249
Naturalized,699
Naturalized,399
Naturalized,249
Naturalized,322
Naturalized,399
Naturalized,319
Naturalized,419
Naturalized,419
Naturalized,945
Naturalized,499
Naturalized,542
Naturalized,1295
Naturalized,349
Naturalized,52
Naturalized,2190.5
Naturalized,499
Naturalized,399
Naturalized,1473
Naturalized,999
Naturalized,499
Naturalized,499
Naturalized,297
Naturalized,499
Naturalized,499
Naturalized,499
Naturalized,339
Naturalized,246.5
Naturalized,385
Naturalized,44
Naturalized,44
Naturalized,499
Naturalized,1225
Casual,299
Casual,799
Casual,299
Casual,299
Casual,299
Casual,535
Casual,499
Casual,424
Casual,133.5
Casual,324
Casual,399
Casual,499
Casual,259
Casual,799
Casual,399
Casual,399
Casual,270
Casual,551.5
Casual,324
Casual,399
Casual,899
Casual,374
Casual,449
Casual,299
Casual,499
Casual,299
Casual,474
Casual,399
Casual,299
Casual,752
Casual,499
Casual,499
Casual,542.3333333
Casual,399
Casual,499
Casual,399
Casual,499
Casual,399
Casual,399
Casual,145
Casual,451
Casual,499
Casual,686
Casual,899
Casual,424
Casual,399
Casual,399
Casual,499
Casual,374
Casual,225.5
Casual,399
Casual,320
Casual,399
Casual,399
Casual,399
Casual,676.5
Casual,399
Casual,574
Casual,399
Casual,799
Casual,479
Casual,499
Casual,594.3333333
Casual,349
Casual,145
Casual,549
Casual,499
Casual,399
Casual,399
Casual,750
Casual,399
Casual,799
Casual,649
Casual,599
Casual,1499
Casual,649
Casual,399
Casual,499
Casual,499
Casual,1289
Casual,424
Casual,399
Casual,419
Casual,399
Casual,899
Casual,999
Casual,499
Casual,399
Casual,499
Casual,227
Casual,499
Casual,499
Casual,221.5
Casual,499
Casual,699
Casual,444
Casual,372.5
Casual,499
Casual,899
Casual,499
Casual,499
Casual,499
Casual,499
Casual,499
Casual,299
Casual,449
Casual,499
Casual,249
Casual,249
Casual,399
Casual,499
Casual,499
Casual,334
Casual,499
Casual,299
Casual,629
Casual,499
Casual,499
Casual,499
Casual,499
Casual,549
Casual,899
Casual,299
Casual,310.5
Casual,499
Casual,549
Casual,499
Casual,499
Casual,499
Casual,524
Casual,499
Casual,499
Casual,499
Casual,999
Casual,499
Casual,47
Casual,449
Casual,366
Casual,749
Casual,899
Casual,1073
Casual,499
Casual,1149
Casual,570.5
Casual,1295
Casual,499
Casual,399
Casual,399
Casual,499
Casual,46
Casual,499
Casual,499
Casual,449
Casual,499
Casual,499
Casual,499
Casual,499
Casual,999
Casual,499
Casual,177
Casual,349
Casual,499
Casual,499
Casual,499
Casual,176
Casual,499
Casual,399
Casual,499
Casual,499
Casual,249
Casual,499
Casual,1274
Casual,5
Casual,95.5
Native,263
Native,399
Native,399
Native,899
Native,399
Native,1097
Native,899
Native,499
Native,499
Native,542
Native,194
Native,299
Native,85
Native,899
Native,899
Native,349
Native,899
Native,299
Native,399
Native,899
Native,899
Native,499
Native,499
Native,499
Native,399
Native,499
Native,499
Native,499
Native,492
Native,499
Native,499
Native,499
Native,1975
Native,429
Native,272
Native,349
Native,499
Native,899
Native,499
Native,793
Native,2081.5
Native,499
Native,669
Native,419
Native,499
Native,399
Native,399
Native,399
Native,499
Native,499
Native,499
Native,1536
Native,499
Native,687
Native,499
Native,340
Native,449
Native,499
Native,280.6666667
Native,969
Native,1899
Native,249
Native,899
Native,44
Native,499
Native,499
Native,499
Native,133.5
Native,499
Native,140
Native,499
Native,299
Native,899
Native,399
Native,899
Native,1027
Native,899
Native,899
Native,399
Native,324
Native,546.5
Cryptogenic,499
Cryptogenic,999
Cryptogenic,499
